mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,landscape,epoch_len
island-dtam,opt,uniform500,500,4,8,30,240,275,8,1,0.15,16831.5,5.66074,4.005,-1,416,416,440,0,uniform500,5
island-dtam,opt,uniform500,500,4,8,30,240,300,1,1,0.15,16571.9,4.0311,4.119,-1,230,230,240,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,290,2,1,0.15,16743.9,5.11077,4.001,-1,224,224,232,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,290,3,1,0.15,17240.3,8.22682,4.036,-1,227,227,232,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,300,4,1,0.15,17310.3,8.66659,4.075,-1,234,234,240,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,280,5,1,0.15,16925.8,6.25304,4.051,-1,217,217,224,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,300,6,1,0.15,17167,7.76708,4.162,-1,234,234,240,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,290,7,1,0.15,17270.2,8.41462,4.028,-1,225,225,232,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,290,8,1,0.15,17089.7,7.28197,4.022,-1,224,224,232,0,uniform500,10
island-dtam,opt,uniform500,500,4,8,30,240,275,1,1,0.15,16622.9,4.35124,4.199,-1,88,88,88,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,300,2,1,0.15,16889.8,6.0271,4.247,-1,96,96,96,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,300,3,1,0.15,17244.3,8.25208,4.085,-1,96,96,96,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,300,4,1,0.15,17239.6,8.22255,4.066,-1,96,96,96,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,300,5,1,0.15,17169.6,7.78349,4.015,-1,96,96,96,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,325,6,1,0.15,17031.4,6.91584,4.301,-1,104,104,104,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,325,7,1,0.15,17250.2,8.2891,4.25,-1,104,104,104,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,300,8,1,0.15,17059.7,7.09353,4.078,-1,96,96,96,0,uniform500,25
island-dtam,opt,uniform500,500,4,8,30,240,350,1,1,0.15,16830,5.65112,4.667,-1,56,56,56,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,2,1,0.15,17061.4,7.10398,4.052,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,3,1,0.15,17339,8.84676,4.189,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,4,1,0.15,17468.2,9.65793,4.017,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,5,1,0.15,17248.8,8.28035,4.13,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,6,1,0.15,16934.3,6.30623,4.196,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,7,1,0.15,17355.9,8.95282,4.079,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,8,1,0.15,17208.4,8.02679,4.024,-1,48,48,48,0,uniform500,50
island-dtam,opt,uniform500,500,4,8,30,240,300,1,1,0.15,16836,5.68935,4.162,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,300,2,1,0.15,16926.4,6.25626,4.073,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,300,3,1,0.15,17489.4,9.79061,4.007,-1,24,24,24,0,uniform500,100
island-dtam,opt,uniform500,500,4,8,30,240,300,4,1,0.15,17531.2,10.0532,4.33,-1,24,24,24,0,uniform500,100
