mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,landscape,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,clustered600,600,4,8,30,240,8690,1,0,0.15,6376.66,-1,4,-1,6952,6941,6952,0,E5,clustered600,1,4.0,4.0,4.0,0.0,6376.66,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7860,2,0,0.15,7003.55,-1,4.002,-1,6288,6279,6288,0,E5,clustered600,1,4.002,4.002,4.002,0.0,7003.55,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7100,3,0,0.15,7196.64,-1,4.002,-1,5680,5672,5680,0,E5,clustered600,1,4.002,4.002,4.002,0.0,7196.64,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7540,4,0,0.15,6776.24,-1,4.001,-1,6032,6022,6032,0,E5,clustered600,1,4.001,4.001,4.001,0.0,6776.24,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7890,5,0,0.15,7695.36,-1,4.004,-1,6312,6302,6312,0,E5,clustered600,1,4.004,4.004,4.004,0.0,7695.36,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7620,6,0,0.15,6689.18,-1,4,-1,6096,6090,6096,0,E5,clustered600,1,4.0,4.0,4.0,0.0,6689.18,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7290,7,0,0.15,8173.6,-1,4.005,-1,5832,5827,5832,0,E5,clustered600,1,4.005,4.005,4.005,0.0,8173.6,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7660,8,0,0.15,6203.43,-1,4.002,-1,6128,6121,6128,0,E5,clustered600,1,4.002,4.002,4.002,0.0,6203.43,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7890,9,0,0.15,7287.31,-1,4.002,-1,6312,6299,6312,0,E5,clustered600,1,4.002,4.002,4.002,0.0,7287.31,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7390,10,0,0.15,6659.01,-1,4.004,-1,5912,5899,5912,0,E5,clustered600,1,4.004,4.004,4.004,0.0,6659.01,0.0
island-fixed,opt,clustered600,600,4,8,30,240,7080,11,0,0.15,8141.18,-1,4,-1,5664,5655,5664,0,E5,clustered600,1,4.0,4.0,4.0,0.0,8141.18,0.0
island-fixed,opt,clustered600,600,4,8,30,240,8050,12,0,0.15,7206.69,-1,4.002,-1,6440,6431,6440,0,E5,clustered600,1,4.002,4.002,4.002,0.0,7206.69,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5690,1,0,0.15,7325.75,-1,4.004,-1,4544,4544,4552,0,E5,clustered600,1,4.004,4.004,4.004,0.0,7325.75,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5980,2,0,0.15,7749.59,-1,4.005,-1,4779,4779,4784,0,E5,clustered600,1,4.005,4.005,4.005,0.0,7749.59,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5560,3,0,0.15,8322.84,-1,4.005,-1,4440,4440,4448,0,E5,clustered600,1,4.005,4.005,4.005,0.0,8322.84,0.0
island-dtam,opt,clustered600,600,4,8,30,240,6010,4,0,0.15,6738.53,-1,4,-1,4798,4798,4808,0,E5,clustered600,1,4.0,4.0,4.0,0.0,6738.53,0.0
island-dtam,opt,clustered600,600,4,8,30,240,6040,5,0,0.15,8311.6,-1,4.005,-1,4822,4822,4832,0,E5,clustered600,1,4.005,4.005,4.005,0.0,8311.6,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5850,6,0,0.15,7555.84,-1,4.005,-1,4673,4673,4680,0,E5,clustered600,1,4.005,4.005,4.005,0.0,7555.84,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5650,7,0,0.15,8527.08,-1,4.002,-1,4512,4512,4520,0,E5,clustered600,1,4.002,4.002,4.002,0.0,8527.08,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5790,8,0,0.15,7434.24,-1,4.004,-1,4622,4622,4632,0,E5,clustered600,1,4.004,4.004,4.004,0.0,7434.24,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5470,9,0,0.15,7641.74,-1,4.003,-1,4369,4369,4376,0,E5,clustered600,1,4.003,4.003,4.003,0.0,7641.74,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5930,10,0,0.15,7359.62,-1,4.006,-1,4732,4732,4744,0,E5,clustered600,1,4.006,4.006,4.006,0.0,7359.62,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5430,11,0,0.15,8189.3,-1,4.004,-1,4332,4332,4344,0,E5,clustered600,1,4.004,4.004,4.004,0.0,8189.3,0.0
island-dtam,opt,clustered600,600,4,8,30,240,5780,12,0,0.15,8393.78,-1,4.005,-1,4613,4613,4624,0,E5,clustered600,1,4.005,4.005,4.005,0.0,8393.78,0.0
serial,opt,clustered600,600,1,1,240,240,93,1,1,0.15,5299.34,-1,4.008,-1,0,0,0,0,E5,clustered600,1,4.008,4.008,4.008,0.0,5299.34,0.0
serial,opt,clustered600,600,1,1,240,240,95,2,1,0.15,5656.56,-1,4.006,-1,0,0,0,0,E5,clustered600,1,4.006,4.006,4.006,0.0,5656.56,0.0
serial,opt,clustered600,600,1,1,240,240,97,3,1,0.15,5423.73,-1,4.027,-1,0,0,0,0,E5,clustered600,1,4.027,4.027,4.027,0.0,5423.73,0.0
serial,opt,clustered600,600,1,1,240,240,93,4,1,0.15,4788.48,-1,4.007,-1,0,0,0,0,E5,clustered600,1,4.007,4.007,4.007,0.0,4788.48,0.0
serial,opt,clustered600,600,1,1,240,240,96,5,1,0.15,5887.21,-1,4.049,-1,0,0,0,0,E5,clustered600,1,4.049,4.049,4.049,0.0,5887.21,0.0
serial,opt,clustered600,600,1,1,240,240,92,6,1,0.15,5220.99,-1,4.013,-1,0,0,0,0,E5,clustered600,1,4.013,4.013,4.013,0.0,5220.99,0.0
serial,opt,clustered600,600,1,1,240,240,95,7,1,0.15,6052.65,-1,4.042,-1,0,0,0,0,E5,clustered600,1,4.042,4.042,4.042,0.0,6052.65,0.0
serial,opt,clustered600,600,1,1,240,240,95,8,1,0.15,4875.49,-1,4.005,-1,0,0,0,0,E5,clustered600,1,4.005,4.005,4.005,0.0,4875.49,0.0
serial,opt,clustered600,600,1,1,240,240,97,9,1,0.15,5508.17,-1,4.044,-1,0,0,0,0,E5,clustered600,1,4.044,4.044,4.044,0.0,5508.17,0.0
serial,opt,clustered600,600,1,1,240,240,97,10,1,0.15,5250.65,-1,4.019,-1,0,0,0,0,E5,clustered600,1,4.019,4.019,4.019,0.0,5250.65,0.0
serial,opt,clustered600,600,1,1,240,240,94,11,1,0.15,5661.97,-1,4.04,-1,0,0,0,0,E5,clustered600,1,4.04,4.04,4.04,0.0,5661.97,0.0
serial,opt,clustered600,600,1,1,240,240,97,12,1,0.15,5061.31,-1,4.029,-1,0,0,0,0,E5,clustered600,1,4.029,4.029,4.029,0.0,5061.31,0.0
island-fixed,opt,clustered600,600,4,8,30,240,230,1,1,0.15,5277.97,-1,4.043,-1,184,181,184,0,E5,clustered600,1,4.043,4.043,4.043,0.0,5277.97,0.0
island-fixed,opt,clustered600,600,4,8,30,240,200,2,1,0.15,5579.81,-1,4.148,-1,160,158,160,0,E5,clustered600,1,4.148,4.148,4.148,0.0,5579.81,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,3,1,0.15,5363.82,-1,4.016,-1,152,150,152,0,E5,clustered600,1,4.016,4.016,4.016,0.0,5363.82,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,4,1,0.15,4688.27,-1,4.027,-1,152,147,152,0,E5,clustered600,1,4.027,4.027,4.027,0.0,4688.27,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,5,1,0.15,5778.7,-1,4.132,-1,152,147,152,0,E5,clustered600,1,4.132,4.132,4.132,0.0,5778.7,0.0
island-fixed,opt,clustered600,600,4,8,30,240,200,6,1,0.15,5151.74,-1,4.158,-1,160,159,160,0,E5,clustered600,1,4.158,4.158,4.158,0.0,5151.74,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,7,1,0.15,5968.44,-1,4.065,-1,152,146,152,0,E5,clustered600,1,4.065,4.065,4.065,0.0,5968.44,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,8,1,0.15,4754.48,-1,4.044,-1,152,150,152,0,E5,clustered600,1,4.044,4.044,4.044,0.0,4754.48,0.0
island-fixed,opt,clustered600,600,4,8,30,240,180,9,1,0.15,5475.23,-1,4,-1,144,141,144,0,E5,clustered600,1,4.0,4.0,4.0,0.0,5475.23,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,10,1,0.15,5179.44,-1,4.023,-1,152,147,152,0,E5,clustered600,1,4.023,4.023,4.023,0.0,5179.44,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,11,1,0.15,5594.23,-1,4.092,-1,152,148,152,0,E5,clustered600,1,4.092,4.092,4.092,0.0,5594.23,0.0
island-fixed,opt,clustered600,600,4,8,30,240,190,12,1,0.15,4996.29,-1,4.038,-1,152,147,152,0,E5,clustered600,1,4.038,4.038,4.038,0.0,4996.29,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,1,1,0.15,5273.58,-1,4.016,-1,149,149,152,0,E5,clustered600,1,4.016,4.016,4.016,0.0,5273.58,0.0
island-dtam,opt,clustered600,600,4,8,30,240,180,2,1,0.15,5561.09,-1,4.038,-1,141,141,144,0,E5,clustered600,1,4.038,4.038,4.038,0.0,5561.09,0.0
island-dtam,opt,clustered600,600,4,8,30,240,170,3,1,0.15,5390.01,-1,4.044,-1,133,133,136,0,E5,clustered600,1,4.044,4.044,4.044,0.0,5390.01,0.0
island-dtam,opt,clustered600,600,4,8,30,240,180,4,1,0.15,4673.88,-1,4.106,-1,138,138,144,0,E5,clustered600,1,4.106,4.106,4.106,0.0,4673.88,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,5,1,0.15,5796.23,-1,4.142,-1,148,148,152,0,E5,clustered600,1,4.142,4.142,4.142,0.0,5796.23,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,6,1,0.15,5151.59,-1,4.005,-1,149,149,152,0,E5,clustered600,1,4.005,4.005,4.005,0.0,5151.59,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,7,1,0.15,5955.28,-1,4.128,-1,148,148,152,0,E5,clustered600,1,4.128,4.128,4.128,0.0,5955.28,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,8,1,0.15,4753.16,-1,4.09,-1,149,149,152,0,E5,clustered600,1,4.09,4.09,4.09,0.0,4753.16,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,9,1,0.15,5467.57,-1,4.015,-1,148,148,152,0,E5,clustered600,1,4.015,4.015,4.015,0.0,5467.57,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,10,1,0.15,5156.99,-1,4.012,-1,148,148,152,0,E5,clustered600,1,4.012,4.012,4.012,0.0,5156.99,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,11,1,0.15,5591.21,-1,4.034,-1,147,147,152,0,E5,clustered600,1,4.034,4.034,4.034,0.0,5591.21,0.0
island-dtam,opt,clustered600,600,4,8,30,240,190,12,1,0.15,5008.9,-1,4.182,-1,148,148,152,0,E5,clustered600,1,4.182,4.182,4.182,0.0,5008.9,0.0
