mode,engine,instance,n,threads,islands,island_pop,total_pop,generations,seed,twoopt,tau,best_len,gap,total_time,time_to_target,migrations,stag_epochs,island_epochs,valid,exp,instance_file,reps,t_min,t_med,t_max,t_cv,len_med,canary_drift_pct
island-fixed,opt,ch150,150,4,8,30,240,3130,7,1,0.15,6556,0.428922,4.006,-1,2504,2499,2504,0,E6,ch150,1,4.006,4.006,4.006,0.0,6556.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3060,8,1,0.15,6611,1.27145,4.002,-1,2448,2444,2448,0,E6,ch150,1,4.002,4.002,4.002,0.0,6611.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3070,9,1,0.15,6569,0.628064,4.01,-1,2456,2452,2456,0,E6,ch150,1,4.01,4.01,4.01,0.0,6569.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3050,10,1,0.15,6631,1.57782,4.002,-1,2440,2435,2440,0,E6,ch150,1,4.002,4.002,4.002,0.0,6631.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3220,11,1,0.15,6631,1.57782,4.002,-1,2576,2571,2576,0,E6,ch150,1,4.002,4.002,4.002,0.0,6631.0,0.0
island-fixed,opt,ch150,150,4,8,30,240,3150,12,1,0.15,6631,1.57782,4.011,-1,2520,2515,2520,0,E6,ch150,1,4.011,4.011,4.011,0.0,6631.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3040,1,1,0.15,6571,0.658701,4.004,-1,2424,2424,2432,0,E6,ch150,1,4.004,4.004,4.004,0.0,6571.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3010,2,1,0.15,6610,1.25613,4.005,-1,2402,2402,2408,0,E6,ch150,1,4.005,4.005,4.005,0.0,6610.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3140,3,1,0.15,6610,1.25613,4.012,-1,2506,2506,2512,0,E6,ch150,1,4.012,4.012,4.012,0.0,6610.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3130,4,1,0.15,6553,0.382966,4.005,-1,2497,2497,2504,0,E6,ch150,1,4.005,4.005,4.005,0.0,6553.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3130,5,1,0.15,6603,1.1489,4.009,-1,2498,2498,2504,0,E6,ch150,1,4.009,4.009,4.009,0.0,6603.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3050,6,1,0.15,6554,0.398284,4.005,-1,2435,2435,2440,0,E6,ch150,1,4.005,4.005,4.005,0.0,6554.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3120,7,1,0.15,6553,0.382966,4.003,-1,2491,2491,2496,0,E6,ch150,1,4.003,4.003,4.003,0.0,6553.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3110,8,1,0.15,6583,0.842525,4.003,-1,2484,2484,2488,0,E6,ch150,1,4.003,4.003,4.003,0.0,6583.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3050,9,1,0.15,6572,0.67402,4.001,-1,2436,2436,2440,0,E6,ch150,1,4.001,4.001,4.001,0.0,6572.0,0.0
island-dtam,opt,ch150,150,4,8,30,240,3060,10,1,0.15,6631,1.57782,4.006,-1,2443,2443,2448,0,E6,ch150,1,4.006,4.006,4.006,0.0,6631.0,0.0
